longitude,latitude,temperature
121.31,34.47,
121.41,34.47,
121.52,34.47,
121.62,34.47,
121.72,34.47,
121.82,34.47,
121.92,34.47,
122.02,34.47,
122.12,34.47,
122.22,34.47,
122.32,34.47,
122.42,34.47,
114.48,34.55,
114.58,34.55,
114.68,34.55,
114.78,34.55,
114.88,34.55,
114.98,34.55,
115.08,34.55,
115.18,34.55,
115.28,34.55,
115.38,34.55,
115.49,34.55,
115.59,34.55,
115.69,34.55,
115.79,34.55,
115.89,34.55,
115.99,34.55,
116.09,34.55,
116.19,34.55,
116.29,34.55,
116.39,34.55,
116.49,34.55,
116.59,34.55,
116.69,34.55,
116.79,34.55,
116.89,34.55,
116.99,34.55,
117.09,34.55,
117.19,34.55,4.84
117.29,34.55,5.0
117.39,34.55,
117.5,34.55,5.31
117.6,34.55,5.46
117.7,34.55,5.59
117.8,34.55,
117.9,34.55,
118.0,34.55,
118.1,34.55,
118.2,34.55,5.93
118.3,34.55,5.92
118.4,34.55,5.9
118.5,34.55,
118.6,34.55,
118.7,34.55,
118.8,34.55,
118.9,34.55,
119.0,34.55,
119.1,34.55,
119.2,34.55,
119.3,34.55,
119.4,34.55,
119.51,34.55,
119.61,34.55,
119.71,34.55,
119.81,34.55,
119.91,34.55,
120.01,34.55,
120.11,34.55,
120.21,34.55,
120.31,34.55,
120.41,34.55,
120.51,34.55,
120.61,34.55,
120.71,34.55,
120.81,34.55,
120.91,34.55,
121.01,34.55,
121.11,34.55,
121.21,34.55,
121.31,34.55,
121.41,34.55,
121.52,34.55,
121.62,34.55,
121.72,34.55,
121.82,34.55,
121.92,34.55,
122.02,34.55,
122.12,34.55,
122.22,34.55,
122.32,34.55,
122.42,34.55,
114.48,34.63,
114.58,34.63,
114.68,34.63,
114.78,34.63,
114.88,34.63,
114.98,34.63,
115.08,34.63,
115.18,34.63,
115.28,34.63,
115.38,34.63,
115.49,34.63,4.57
115.59,34.63,4.55
115.69,34.63,4.51
115.79,34.63,4.46
115.89,34.63,4.4
115.99,34.63,4.34
116.09,34.63,4.28
116.19,34.63,4.23
116.29,34.63,4.18
116.39,34.63,
116.49,34.63,
116.59,34.63,
116.69,34.63,
116.79,34.63,
116.89,34.63,
116.99,34.63,
117.09,34.63,
117.19,34.63,4.82
117.29,34.63,4.99
117.39,34.63,5.17
117.5,34.63,5.34
117.6,34.63,5.51
117.7,34.63,5.67
117.8,34.63,
117.9,34.63,
118.0,34.63,
118.1,34.63,6.05
118.2,34.63,6.08
118.3,34.63,6.09
118.4,34.63,6.07
118.5,34.63,
118.6,34.63,
118.7,34.63,
118.8,34.63,
118.9,34.63,
119.0,34.63,
119.1,34.63,
119.2,34.63,
119.3,34.63,
119.4,34.63,
119.51,34.63,
119.61,34.63,
119.71,34.63,
119.81,34.63,
119.91,34.63,
120.01,34.63,
120.11,34.63,
120.21,34.63,
120.31,34.63,
120.41,34.63,
120.51,34.63,
120.61,34.63,
120.71,34.63,
120.81,34.63,
120.91,34.63,
121.01,34.63,
121.11,34.63,
121.21,34.63,
121.31,34.63,
121.41,34.63,
121.52,34.63,
121.62,34.63,
121.72,34.63,
121.82,34.63,
121.92,34.63,
122.02,34.63,
122.12,34.63,
122.22,34.63,
122.32,34.63,
122.42,34.63,
114.48,34.71,
114.58,34.71,
114.68,34.71,
114.78,34.71,
114.88,34.71,
114.98,34.71,
115.08,34.71,
115.18,34.71,
115.28,34.71,
115.38,34.71,
115.49,34.71,4.63
115.59,34.71,4.61
115.69,34.71,4.56
115.79,34.71,4.5
115.89,34.71,4.43
115.99,34.71,4.36
116.09,34.71,4.28
116.19,34.71,4.21
116.29,34.71,4.15
116.39,34.71,4.11
116.49,34.71,
116.59,34.71,
116.69,34.71,
116.79,34.71,
116.89,34.71,
116.99,34.71,
117.09,34.71,4.58
117.19,34.71,4.75
117.29,34.71,4.94
117.39,34.71,5.14
117.5,34.71,5.34
117.6,34.71,5.52
117.7,34.71,5.7
117.8,34.71,5.86
117.9,34.71,5.99
118.0,34.71,6.09
118.1,34.71,6.17
118.2,34.71,6.21
118.3,34.71,6.23
118.4,34.71,6.23
118.5,34.71,6.21
118.6,34.71,
118.7,34.71,6.12
118.8,34.71,
118.9,34.71,
119.0,34.71,
119.1,34.71,
119.2,34.71,
119.3,34.71,
119.4,34.71,
119.51,34.71,
119.61,34.71,
119.71,34.71,
119.81,34.71,
