longitude,latitude,temperature
114.48,34.23,4.08
114.58,34.23,4.1
114.68,34.23,4.13
114.78,34.23,4.15
114.88,34.23,4.18
114.98,34.23,4.2
115.08,34.23,4.22
115.18,34.23,4.24
115.28,34.23,4.25
115.38,34.23,4.25
115.49,34.23,4.25
115.59,34.23,4.25
115.69,34.23,4.24
115.79,34.23,4.22
115.89,34.23,4.2
115.99,34.23,4.19
116.09,34.23,4.17
116.19,34.23,4.16
116.29,34.23,4.16
116.39,34.23,4.17
116.49,34.23,4.19
116.59,34.23,4.22
116.69,34.23,4.26
116.79,34.23,4.32
116.89,34.23,4.39
116.99,34.23,4.47
117.09,34.23,4.56
117.19,34.23,4.66
117.29,34.23,4.75
117.39,34.23,4.85
117.5,34.23,4.94
117.6,34.23,5.01
117.7,34.23,5.08
117.8,34.23,5.13
117.9,34.23,5.17
118.0,34.23,5.19
118.1,34.23,5.2
118.2,34.23,5.19
118.3,34.23,5.17
118.4,34.23,5.13
118.5,34.23,5.09
118.6,34.23,5.03
118.7,34.23,4.98
118.8,34.23,4.92
118.9,34.23,4.86
119.0,34.23,4.81
119.1,34.23,4.76
119.2,34.23,4.71
119.3,34.23,4.66
119.4,34.23,4.61
119.51,34.23,4.57
119.61,34.23,4.52
119.71,34.23,4.47
119.81,34.23,4.42
119.91,34.23,4.37
120.01,34.23,4.32
120.11,34.23,4.28
120.21,34.23,4.23
120.31,34.23,4.19
120.41,34.23,4.15
120.51,34.23,4.12
120.61,34.23,4.1
120.71,34.23,4.07
120.81,34.23,4.06
120.91,34.23,4.04
121.01,34.23,4.03
121.11,34.23,4.02
121.21,34.23,4.02
121.31,34.23,4.01
121.41,34.23,4.01
121.52,34.23,4.01
121.62,34.23,4.01
121.72,34.23,4.0
121.82,34.23,4.0
121.92,34.23,4.0
122.02,34.23,4.0
122.12,34.23,4.0
122.22,34.23,4.0
122.32,34.23,4.0
122.42,34.23,4.0
114.48,34.31,4.1
114.58,34.31,4.13
114.68,34.31,4.15
114.78,34.31,4.18
114.88,34.31,4.21
114.98,34.31,4.24
115.08,34.31,4.27
115.18,34.31,4.29
115.28,34.31,4.3
115.38,34.31,4.31
115.49,34.31,4.31
115.59,34.31,4.3
115.69,34.31,4.29
115.79,34.31,4.27
115.89,34.31,4.24
115.99,34.31,4.22
116.09,34.31,4.2
116.19,34.31,4.18
116.29,34.31,4.18
116.39,34.31,4.18
116.49,34.31,4.2
116.59,34.31,4.23
116.69,34.31,4.28
116.79,34.31,4.35
116.89,34.31,4.43
116.99,34.31,4.52
117.09,34.31,4.62
117.19,34.31,4.73
117.29,34.31,4.84
117.39,34.31,4.95
117.5,34.31,5.05
117.6,34.31,5.15
117.7,34.31,5.23
117.8,34.31,5.29
117.9,34.31,5.34
118.0,34.31,5.37
118.1,34.31,5.38
118.2,34.31,5.38
118.3,34.31,5.35
118.4,34.31,5.32
118.5,34.31,5.27
118.6,34.31,5.22
118.7,34.31,5.16
118.8,34.31,5.1
118.9,34.31,5.03
119.0,34.31,4.97
119.1,34.31,4.92
119.2,34.31,4.86
119.3,34.31,4.81
119.4,34.31,4.75
119.51,34.31,4.7
119.61,34.31,4.65
119.71,34.31,4.59
119.81,34.31,4.53
119.91,34.31,4.47
120.01,34.31,4.41
120.11,34.31,4.35
120.21,34.31,4.29
120.31,34.31,4.24
120.41,34.31,4.2
120.51,34.31,4.16
120.61,34.31,4.12
120.71,34.31,4.1
120.81,34.31,4.07
120.91,34.31,4.05
121.01,34.31,4.04
121.11,34.31,4.03
121.21,34.31,4.02
121.31,34.31,4.02
121.41,34.31,4.01
121.52,34.31,4.01
121.62,34.31,4.01
121.72,34.31,4.0
121.82,34.31,4.0
121.92,34.31,4.0
122.02,34.31,4.0
122.12,34.31,4.0
122.22,34.31,4.0
122.32,34.31,4.0
122.42,34.31,4.0
114.48,34.39,4.12
114.58,34.39,4.15
114.68,34.39,4.18
114.78,34.39,4.22
114.88,34.39,4.26
114.98,34.39,4.29
115.08,34.39,4.32
115.18,34.39,4.34
115.28,34.39,4.36
115.38,34.39,4.37
115.49,34.39,4.37
115.59,34.39,4.36
115.69,34.39,4.34
115.79,34.39,4.31
115.89,34.39,4.28
115.99,34.39,4.25
116.09,34.39,4.23
116.19,34.39,4.2
116.29,34.39,4.19
116.39,34.39,4.19
116.49,34.39,4.21
116.59,34.39,4.24
116.69,34.39,4.29
116.79,34.39,4.36
116.89,34.39,4.45
116.99,34.39,4.55
117.09,34.39,4.66
117.19,34.39,4.79
117.29,34.39,4.91
117.39,34.39,5.04
117.5,34.39,5.16
117.6,34.39,5.27
117.7,34.39,5.37
117.8,34.39,5.45
117.9,34.39,5.51
118.0,34.39,5.55
118.1,34.39,5.57
118.2,34.39,5.57
118.3,34.39,5.55
118.4,34.39,5.51
118.5,34.39,5.47
118.6,34.39,5.41
118.7,34.39,5.35
118.8,34.39,5.28
118.9,34.39,5.22
119.0,34.39,5.16
119.1,34.39,5.09
119.2,34.39,5.04
119.3,34.39,4.98
119.4,34.39,4.92
119.51,34.39,4.86
119.61,34.39,4.79
119.71,34.39,4.72
119.81,34.39,4.65
119.91,34.39,4.58
120.01,34.39,4.51
120.11,34.39,4.44
120.21,34.39,4.37
120.31,34.39,4.3
120.41,34.39,4.25
120.51,34.39,4.2
120.61,34.39,4.16
120.71,34.39,4.12
120.81,34.39,4.09
120.91,34.39,4.07
121.01,34.39,4.05
121.11,34.39,4.04
121.21,34.39,4.03
121.31,34.39,4.02
121.41,34.39,4.02
121.52,34.39,4.01
121.62,34.39,4.01
121.72,34.39,4.01
121.82,34.39,4.0
121.92,34.39,4.0
122.02,34.39,4.0
122.12,34.39,4.0
122.22,34.39,4.0
122.32,34.39,4.0
122.42,34.39,4.0
114.48,34.47,4.14
114.58,34.47,4.18
114.68,34.47,4.22
114.78,34.47,4.26
114.88,34.47,4.3
114.98,34.47,4.34
115.08,34.47,4.38
115.18,34.47,4.41
115.28,34.47,4.43
115.38,34.47,4.43
115.49,34.47,4.43
115.59,34.47,4.42
115.69,34.47,4.4
115.79,34.47,4.36
115.89,34.47,4.33
115.99,34.47,4.29
116.09,34.47,4.25
116.19,34.47,4.22
116.29,34.47,4.2
116.39,34.47,4.19
116.49,34.47,4.21
116.59,34.47,4.24
116.69,34.47,4.29
116.79,34.47,4.36
116.89,34.47,4.45
116.99,34.47,4.56
117.09,34.47,4.69
117.19,34.47,4.82
117.29,34.47,4.97
117.39,34.47,5.11
117.5,34.47,5.25
117.6,34.47,5.38
117.7,34.47,5.49
117.8,34.47,5.59
117.9,34.47,5.66
118.0,34.47,5.71
118.1,34.47,5.74
118.2,34.47,5.75
118.3,34.47,5.74
118.4,34.47,5.71
118.5,34.47,5.66
118.6,34.47,5.61
118.7,34.47,5.55
118.8,34.47,5.48
118.9,34.47,5.41
119.0,34.47,5.35
119.1,34.47,5.29
119.2,34.47,5.23
119.3,34.47,5.16
119.4,34.47,5.1
119.51,34.47,5.03
119.61,34.47,4.96
119.71,34.47,4.88
119.81,34.47,4.79
119.91,34.47,4.71
120.01,34.47,4.62
120.11,34.47,4.54
120.21,34.47,4.45
120.31,34.47,4.38
120.41,34.47,4.31
120.51,34.47,4.25
120.61,34.47,4.2
120.71,34.47,4.15
120.81,34.47,4.12
120.91,34.47,4.09
121.01,34.47,4.07
121.11,34.47,4.05
121.21,34.47,4.04
121.31,34.47,4.03
121.41,34.47,4.02
121.52,34.47,4.01
121.62,34.47,4.01
121.72,34.47,4.01
121.82,34.47,4.01
121.92,34.47,4.0
122.02,34.47,4.0
122.12,34.47,4.0
122.22,34.47,4.0
122.32,34.47,4.0
122.42,34.47,4.0
114.48,34.55,4.16
114.58,34.55,4.21
114.68,34.55,4.25
114.78,34.55,4.3
114.88,34.55,4.35
114.98,34.55,4.4
115.08,34.55,4.44
115.18,34.55,4.47
115.28,34.55,4.49
115.38,34.55,4.5
115.49,34.55,4.5
115.59,34.55,4.48
115.69,34.55,4.45
115.79,34.55,4.41
115.89,34.55,4.37
115.99,34.55,4.32
116.09,34.55,4.27
116.19,34.55,4.23
116.29,34.55,4.2
116.39,34.55,4.18
116.49,34.55,4.19
116.59,34.55,4.21
116.69,34.55,4.26
116.79,34.55,4.34
116.89,34.55,4.43
116.99,34.55,4.55
117.09,34.55,4.69
117.19,34.55,4.84
117.29,34.55,5.0
117.39,34.55,5.16
117.5,34.55,5.31
117.6,34.55,5.46
117.7,34.55,5.59
117.8,34.55,5.71
117.9,34.55,5.8
118.0,34.55,5.87
118.1,34.55,5.91
118.2,34.55,5.93
118.3,34.55,5.92
118.4,34.55,5.9
118.5,34.55,5.86
118.6,34.55,5.81
118.7,34.55,5.75
118.8,34.55,5.68
118.9,34.55,5.62
119.0,34.55,5.55
119.1,34.55,5.49
119.2,34.55,5.43
119.3,34.55,5.36
119.4,34.55,5.3
119.51,34.55,5.22
119.61,34.55,5.14
119.71,34.55,5.05
119.81,34.55,4.95
119.91,34.55,4.85
