city,adcode,Longitude,Latitude
济南,370100,117.00,36.65
青岛,370200,120.33,36.07
淄博,370300,118.05,36.78
枣庄,370400,117.57,34.86
东营,370500,118.49,37.46
烟台,370600,121.39,37.52
潍坊,370700,119.10,36.62
济宁,370800,116.59,36.38
泰安,370900,117.13,36.18
威海,371000,122.10,37.51
日照,371100,119.46,35.42
滨州,371600,118.03,37.36
德州,371400,116.29,37.45
聊城,371500,115.97,36.45
临沂,371300,118.35,35.05
菏泽,371700,115.43,35.24
