longitude,latitude,temperature
114.43,33.86,5.01
116.6,33.86,5.02
118.76,33.86,5.03
120.93,33.86,5.01
123.1,33.86,5.01
114.43,35.02,5.08
116.6,35.02,5.21
118.76,35.02,5.81
120.93,35.02,5.04
123.1,35.02,5.01
114.43,36.19,5.02
116.6,36.19,5.01
118.76,36.19,4.1
120.93,36.19,5.36
123.1,36.19,5.01
114.43,37.36,5.01
116.6,37.36,3.6
118.76,37.36,3.64
120.93,37.36,4.87
123.1,37.36,5.09
114.43,38.52,5.01
116.6,38.52,4.92
118.76,38.52,4.97
120.93,38.52,5.0
123.1,38.52,5.02
